Izz1 + 1.0*Ia1 + 1.0*Iyy2 + 1.0*Iyy3 + 0.07*mz3 + 0.05185*m3 + 0.05185*m4 + 0.05185*m5 + 0.05185*m6,1.244781,0.95,1.24286,1.09
fv1,8.101972,0.49,8.079128,0.67
fs1,6.995866,1.64,7.052472,2.25
off1,0.43736,14.16,0.429254,20.19
Ixx2 - 1.0*Iyy2 - 0.050625*m3 - 0.050625*m4 - 0.050625*m5 - 0.050625*m6,-0.46347,2.11,-0.464981,2.6
Ixy2,0.003279,141.46,0.002586,239.15
Ixz2 - 0.225*mz3 - 0.007875*m3 - 0.007875*m4 - 0.007875*m5 - 0.007875*m6,-0.158496,3.23,-0.160218,4.15
Iyz2,0.004891,78.09,0.004816,103.38
Izz2 + 1.0*Ia2 + 0.050625*m3 + 0.050625*m4 + 0.050625*m5 + 0.050625*m6,1.082464,0.82,1.080106,1.02
mx2 + 0.225*m3 + 0.225*m4 + 0.225*m5 + 0.225*m6,2.215561,1.87,2.218525,2.47
my2,0.136849,26.3,0.145964,32.05
fv2,5.551438,0.81,5.540711,1.07
fs2,8.20129,1.3,8.223919,1.74
off2,1.317817,37.37,1.376271,45.14
Ixx3 - 1.0*Iyy3 + 1.0*Iyy4 + 0.45*mz4 + 0.050625*m4 + 0.050625*m5 + 0.050625*m6,0.128256,7.58,0.121849,9.14
Ixy3,0.004346,122.81,-0.00021,2959.43
Ixz3,-0.001861,326.89,-0.001558,431.83
Iyz3,0.008742,41.72,0.00719,55.49
Izz3 + 1.0*Iyy4 + 0.45*mz4 + 0.050625*m4 + 0.050625*m5 + 0.050625*m6,0.106995,7.12,0.106025,8.09
mx3,0.072593,31.24,0.079167,30.98
my3 - 1.0*mz4 - 0.225*m4 - 0.225*m5 - 0.225*m6,-0.593491,1.97,-0.603333,2.05
Ia3,0.095969,6.7,0.098486,7.03
fv3,1.954325,1.64,1.960375,1.56
fs3,6.38807,1.65,6.358187,1.59
off3,0.322509,58.88,0.326458,61.9
Ixx4 - 1.0*Iyy4 + 1.0*Iyy5,0.005125,90.59,0.004128,113.58
Ixy4,-0.002795,75.38,-0.006761,29.6
Ixz4,-0.00472,53.75,-0.000548,417.8
Iyz4,-0.004842,57.91,-0.005637,40.86
Izz4 + 1.0*Iyy5,-0.004349,73.85,0.000496,494.63
mx4,-0.026328,22.12,-0.018409,27.31
my4 + 1.0*mz5,0.000343,2142.13,-0.008325,65.62
Ia4,0.033172,10.67,0.031618,6.87
fv4,1.092621,2.92,1.096658,1.39
fs4,2.518766,4.65,2.531965,2.18
off4,-0.092194,65.52,-0.090428,30.95
Ixx5 - 1.0*Iyy5 + 1.0*Iyy6,0.007358,44.36,0.002653,82.72
Ixy5,-0.001251,120.77,0.000253,435.97
Ixz5,0.002095,76.66,0.001141,101.03
Iyz5,0.003719,39.79,0.000727,159.07
Izz5 + 1.0*Iyy6,0.005636,44.54,0.001292,181.74
mx5,0.006054,82.57,-0.003165,148.63
my5 - 1.0*mz6,-0.031663,14.11,-0.032019,12.08
Ia5,0.041626,10.22,0.045986,8.25
fv5,1.809116,2.37,1.809781,2.03
fs5,3.167853,3.65,3.17018,3.15
off5,0.030544,227.28,-0.011669,508.55
Ixx6 - 1.0*Iyy6,-0.003267,39.83,-0.000991,94.91
Ixy6,4.3e-05,1586.09,-0.000155,319.67
Ixz6,0.001242,76.9,0.002046,31.88
Iyz6,0.002268,37.83,0.001044,57.86
Izz6,0.003307,37.34,0.001682,48.23
mx6,-0.009252,32.49,-0.003857,66.62
my6,-0.006979,42.06,-0.004222,58.73
Ia6,0.008839,25.25,0.010773,11.19
fv6,0.631728,3.28,0.637864,1.58
fs6,0.239323,56.85,0.302929,27.39
off6,0.167122,37.68,0.148544,20.61
Iam6,0.010031,17.89,0.00948,13.23
fvm6,0.583695,2.79,0.608512,1.62
fsm6,2.104186,4.66,2.009621,3.58
